#{"t_start": 1749007907.105998, "env_id": "None"}
r,l,t,current_walls,walls_broken
115.0,15,0.323142,62,3
30.0,8,0.323872,62,3
-5.0,26,0.326033,63,2
95.0,6,0.326592,61,4
80.0,8,0.365195,63,2
35.0,8,0.366086,62,3
95.0,5,0.366544,61,4
-15.0,14,0.367641,62,3
-20.0,10,0.369117,63,2
-15.0,6,0.369699,63,2
35.0,7,0.37033,62,3
40.0,8,0.373599,62,3
-15.0,5,0.374692,63,2
-110.0,8,0.375481,63,2
25.0,8,0.376304,62,3
585.0,16,0.377695,57,5
10.0,11,0.379019,62,3
180.0,10,0.379789,61,4
90.0,7,0.38036,61,4
35.0,7,0.380912,62,3
-15.0,5,0.381686,63,2
-15.0,5,0.382187,63,2
85.0,17,0.383583,62,3
-115.0,6,0.384122,63,2
-5.0,5,0.385013,63,2
-15.0,5,0.385457,63,2
45.0,14,0.386571,63,2
-20.0,8,0.387254,63,2
30.0,7,0.388135,62,3
35.0,9,0.388924,62,3
50.0,15,0.392149,63,2
-95.0,28,0.394354,62,3
0.0,29,0.397095,63,2
-5.0,12,0.398003,62,3
-60.0,14,0.398996,63,2
55.0,11,0.399827,61,4
85.0,8,0.400938,61,4
40.0,7,0.401599,62,3
95.0,12,0.402596,62,3
-5.0,11,0.403677,62,3
25.0,8,0.404758,62,3
40.0,7,0.405398,62,3
-115.0,5,0.405859,63,2
470.0,12,0.406914,59,3
35.0,8,0.407928,62,3
50.0,14,0.409151,63,2
-45.0,11,0.410065,63,2
35.0,7,0.410672,62,3
-10.0,15,0.412138,62,3
-25.0,10,0.413251,63,2
40.0,6,0.413862,62,3
95.0,13,0.415112,62,3
-65.0,18,0.416866,63,2
120.0,19,0.418337,61,4
-5.0,31,0.420877,62,3
-120.0,7,0.421555,63,2
-5.0,5,0.422384,63,2
35.0,8,0.423094,62,3
50.0,29,0.42524,62,3
-115.0,6,0.425714,63,2
-15.0,6,0.426494,63,2
-5.0,8,0.427248,63,2
390.0,32,0.430006,59,3
0.0,5,0.430588,63,2
20.0,10,0.431915,62,3
30.0,7,0.432481,62,3
-10.0,15,0.433786,62,3
-5.0,14,0.434821,62,3
55.0,24,0.437159,62,3
100.0,13,0.438179,62,3
35.0,7,0.438802,62,3
20.0,10,0.439716,62,3
0.0,12,0.441203,62,3
10.0,10,0.442135,62,3
45.0,6,0.442661,62,3
-10.0,5,0.443096,63,2
-15.0,6,0.444078,63,2
-15.0,5,0.44467,63,2
-10.0,6,0.445219,63,2
-10.0,9,0.445913,63,2
-10.0,19,0.4476,62,3
100.0,14,0.448655,62,3
35.0,6,0.449159,62,3
115.0,13,0.450182,62,3
35.0,7,0.451162,62,3
-10.0,5,0.451632,63,2
-20.0,17,0.452898,62,3
85.0,18,0.454705,62,3
35.0,10,0.455866,62,3
15.0,12,0.456821,62,3
-10.0,5,0.457356,63,2
10.0,34,0.461525,62,3
-35.0,12,0.462959,63,2
-110.0,5,0.463453,63,2
-10.0,6,0.464021,63,2
-115.0,5,0.464486,63,2
-20.0,6,0.465407,63,2
-30.0,10,0.466331,63,2
30.0,9,0.46711,62,3
